taxon_id,scientific_name,common_name_original,common_name_model,taxonomy_class,generic_label,grounding_dino_prompt,qwen_label,yolo_open_vocab_label,aliases
39672,Eretmochelys imbricata,Hawksbill Sea Turtle,hawksbill sea turtle,Reptilia,reptile,hawksbill sea turtle. reptile.,hawksbill sea turtle,hawksbill sea turtle,hawksbill sea turtle|reptile
73592,Actinemys marmorata,Northwestern Pond Turtle,northwestern pond turtle,Reptilia,reptile,northwestern pond turtle. reptile.,northwestern pond turtle,northwestern pond turtle,northwestern pond turtle|reptile
26068,Crocodylus porosus,Saltwater Crocodile,saltwater crocodile,Reptilia,reptile,saltwater crocodile. reptile.,saltwater crocodile,saltwater crocodile,saltwater crocodile|reptile
28390,Thamnophis marcianus,Checkered Garter Snake,checkered garter snake,Reptilia,reptile,checkered garter snake. reptile.,checkered garter snake,checkered garter snake,checkered garter snake|reptile
39665,Caretta caretta,Loggerhead Sea Turtle,loggerhead sea turtle,Reptilia,reptile,loggerhead sea turtle. reptile.,loggerhead sea turtle,loggerhead sea turtle,loggerhead sea turtle|reptile
32954,Bradypodion pumilum,Cape Dwarf Chameleon,cape dwarf chameleon,Reptilia,reptile,cape dwarf chameleon. reptile.,cape dwarf chameleon,cape dwarf chameleon,cape dwarf chameleon|reptile
904173,Agkistrodon conanti,Florida Cottonmouth,florida cottonmouth,Reptilia,reptile,florida cottonmouth. reptile.,florida cottonmouth,florida cottonmouth,florida cottonmouth|reptile
35153,Pseudechis porphyriacus,Red-bellied Black Snake,red bellied black snake,Reptilia,reptile,red bellied black snake. reptile.,red bellied black snake,red bellied black snake,red bellied black snake|reptile
243904,Phrynosoma platyrhinos,Desert Horned Lizard,desert horned lizard,Reptilia,reptile,desert horned lizard. reptile.,desert horned lizard,desert horned lizard,desert horned lizard|reptile
38913,Ameiva ameiva,Giant Ameiva,giant ameiva,Reptilia,reptile,giant ameiva. reptile.,giant ameiva,giant ameiva,giant ameiva|reptile
36198,Sceloporus orcutti,Granite Spiny Lizard,granite spiny lizard,Reptilia,reptile,granite spiny lizard. reptile.,granite spiny lizard,granite spiny lizard,granite spiny lizard|reptile
31631,Amphibolurus muricatus,Jacky Dragon,jacky dragon,Reptilia,reptile,jacky dragon. reptile.,jacky dragon,jacky dragon,jacky dragon|reptile
71085,Varanus niloticus,Nile Monitor,nile monitor,Reptilia,reptile,nile monitor. reptile.,nile monitor,nile monitor,nile monitor|reptile
99882,Emydura macquarii,Eastern Short-necked Turtle,eastern short necked turtle,Reptilia,reptile,eastern short necked turtle. reptile.,eastern short necked turtle,eastern short necked turtle,eastern short necked turtle|reptile
146314,Opheodrys vernalis,Smooth Greensnake,smooth greensnake,Reptilia,reptile,smooth greensnake. reptile.,smooth greensnake,smooth greensnake,smooth greensnake|reptile
35995,Gallotia galloti,Tenerife Lizard,tenerife lizard,Reptilia,reptile,tenerife lizard. reptile.,tenerife lizard,tenerife lizard,tenerife lizard|reptile
30187,Ahaetulla prasina,Oriental Whipsnake,oriental whipsnake,Reptilia,reptile,oriental whipsnake. reptile.,oriental whipsnake,oriental whipsnake,oriental whipsnake|reptile
50000,Clemmys guttata,Spotted Turtle,spotted turtle,Reptilia,reptile,spotted turtle. reptile.,spotted turtle,spotted turtle,spotted turtle|reptile
29818,Lampropeltis holbrooki,Speckled Kingsnake,speckled kingsnake,Reptilia,reptile,speckled kingsnake. reptile.,speckled kingsnake,speckled kingsnake,speckled kingsnake|reptile
33387,Coleonyx variegatus,Western Banded Gecko,western banded gecko,Reptilia,reptile,western banded gecko. reptile.,western banded gecko,western banded gecko,western banded gecko|reptile
38291,Lampropholis guichenoti,Pale-flecked Garden Sunskink,pale flecked garden sunskink,Reptilia,reptile,pale flecked garden sunskink. reptile.,pale flecked garden sunskink,pale flecked garden sunskink,pale flecked garden sunskink|reptile
39950,Mauremys sinensis,Common thread turtle,common thread turtle,Reptilia,reptile,common thread turtle. reptile.,common thread turtle,common thread turtle,common thread turtle|reptile
39598,Chelodina longicollis,Eastern Snake-necked Turtle,eastern snake necked turtle,Reptilia,reptile,eastern snake necked turtle. reptile.,eastern snake necked turtle,eastern snake necked turtle,eastern snake necked turtle|reptile
39670,Lepidochelys olivacea,Olive Ridley Sea Turtle,olive ridley sea turtle,Reptilia,reptile,olive ridley sea turtle. reptile.,olive ridley sea turtle,olive ridley sea turtle,olive ridley sea turtle|reptile
26074,Crocodylus moreletii,Morelet's Crocodile,morelet s crocodile,Reptilia,reptile,morelet s crocodile. reptile.,morelet s crocodile,morelet s crocodile,morelet s crocodile|reptile
32093,Boa constrictor,Boa Constrictor,boa constrictor,Reptilia,reptile,boa constrictor. reptile.,boa constrictor,boa constrictor,boa constrictor|reptile
539039,Chelonoidis carbonarius,Red-footed Tortoise,red footed tortoise,Reptilia,reptile,red footed tortoise. reptile.,red footed tortoise,red footed tortoise,red footed tortoise|reptile
31411,Pogona vitticeps,Central Bearded Dragon,central bearded dragon,Reptilia,reptile,central bearded dragon. reptile.,central bearded dragon,central bearded dragon,central bearded dragon|reptile
